,start,end,who_said,line,similar_line,similarity,similarity_category
55,"00:04:33,200","00:04:35,089",Strucker,I am going to surrender.,I am going to surrender,1.0,100%
56,"00:04:35,760","00:04:37,171",Strucker,You delete everything.,You will delete everything,0.93,90% - 99%
57,"00:04:37,320","00:04:40,690",Tony Stark,"If we give the Avengers the weapons, they may not look too far into what we've been...","Well, we know Strucker's not going to worry about civilian casualties",0.91,90% - 99%
58,"00:04:40,840","00:04:42,922",Dr. List,The twins.,The twins,1.0,100%
59,"00:04:40,840","00:04:42,922",Iron Legion,They are not ready to take on...,We are here to help,0.85,80% - 89%
60,"00:04:43,040","00:04:45,247",Dr. List,"No, no, I mean...","No, no",0.89,80% - 89%
61,"00:04:45,360","00:04:46,850",Dr. List,Twins.,Twins,1.0,100%
62,"00:05:13,160","00:05:15,083",Pietro Maximoff,You didn't see that coming?,You didn't see that coming,1.0,100%
63,"00:05:21,360","00:05:23,681",Natasha Romanoff,Clint!,Clint,1.0,100%
64,"00:05:25,760","00:05:27,080",Steve Rogers,We have an Enhanced in the field.,We have an enhanced in the field,1.0,100%
65,"00:05:27,160","00:05:28,161",Natasha Romanoff,Clint's hit!,Clint's hit,1.0,100%
66,"00:05:32,560","00:05:34,080",Natasha Romanoff,Somebody want to deal with that bunker?,Somebody want to deal with that bunker,1.0,100%
67,"00:05:38,080","00:05:39,286",Natasha Romanoff,Thank you.,Thank you,1.0,100%
68,"00:05:46,400","00:05:48,880",Steve Rogers,"Stark, we really need to get inside.","Stark, we really need to get inside",1.0,100%
69,"00:05:49,280","00:05:50,281",Tony Stark,I'm closing in.,I'm closing in,1.0,100%
70,"00:05:53,400","00:05:55,528",Tony Stark,"Jarvis, am I closing in?","JARVIS, am I",0.8,80% - 89%
71,"00:05:56,520","00:05:58,443",Tony Stark,Do you see a power source for that shield?,Do you see a power source for that shield,1.0,100%
72,"00:05:58,600","00:06:01,126",JARVIS,There's a particle wave below the north tower.,There's a particle wave below the north tower,1.0,100%
73,"00:06:01,240","00:06:03,242",Tony Stark,"Great, I want to poke it with something.","Great, I wanna poke it with something",0.92,90% - 99%
74,"00:06:11,200","00:06:13,123",Tony Stark,"The drawbridge is down, people.","Drawbridge is down, people",0.95,90% - 99%
75,"00:06:17,280","00:06:19,282",Thor,The Enhanced?,The enhanced,1.0,100%
76,"00:06:17,280","00:06:19,282",Steve Rogers,He's a blur.,He's a blur,1.0,100%
77,"00:06:19,960","00:06:22,080",Steve Rogers,"All the new players we've faced, I've never seen this.","All the new player's we've faced, I've never seen this",1.0,100%
78,"00:06:22,480","00:06:23,766",Steve Rogers,"In fact, I still haven't.","In fact, I still haven't",1.0,100%
79,"00:06:23,880","00:06:26,167",Natasha Romanoff,"Clint's hit pretty bad, guys. We're gonna need evac.",We're gonna need evac,0.92,90% - 99%
80,"00:06:26,320","00:06:29,245",Thor,I can get Barton to the jet.,I can get Barton to the jet,1.0,100%
81,"00:06:26,320","00:06:29,245",Thor,"The sooner we're gone, the better.",The sooner we're gone the better,1.0,100%
82,"00:06:29,400","00:06:31,721",Thor,You and Stark secure the sceptre.,You and Stark secure the scepter,0.96,90% - 99%
83,"00:06:29,400","00:06:31,721",Steve Rogers,Copy that.,Copy that,1.0,100%
84,"00:06:32,960","00:06:34,769",Thor,Looks like they're lining up.,It looks like they're lining up,0.95,90% - 99%
85,"00:06:35,080","00:06:36,570",Steve Rogers,"Well, they're excited.","Well, they're excited",1.0,100%
86,"00:06:40,440","00:06:41,805",Thor,Find the sceptre.,Find the scepter,0.91,90% - 99%
87,"00:06:42,800","00:06:45,007",Tony Stark,"And for gosh sake, watch your language!","And for gosh sake, watch your language",1.0,100%
88,"00:06:46,480","00:06:48,403",Steve Rogers,That's not going away any time soon.,That's not going away anytime soon,0.96,90% - 99%
89,"00:06:54,320","00:06:56,527",Tony Stark,"Guys, stop. We gotta talk this through.","Guys, stop, we gotta talk this through",1.0,100%
90,"00:06:59,520","00:07:02,166",Tony Stark,It was a good talk.,It was a good talk,1.0,100%
91,"00:06:59,520","00:07:02,166",Fortress Soldier,"No, it wasn't.",No it wasn't,1.0,100%
92,"00:07:08,360","00:07:10,283",Tony Stark,Sentry mode.,Sentry mode,1.0,100%
93,"00:07:12,640","00:07:16,603",Tony Stark,"Okay, Jarvis, you know. I want it all.",You know I want it all,0.99,90% - 99%
94,"00:07:12,640","00:07:16,603",Tony Stark,Make sure you copy Hill at HQ.,Make sure you copy Hill at HQ,1.0,100%
95,"00:07:21,000","00:07:22,286",Natasha Romanoff,We're locked down out here.,We're locked down out here,1.0,100%
96,"00:07:22,840","00:07:24,968",Steve Rogers,Then get to Banner. Time for a lullaby.,"Then get to Banner, time for a lullaby",1.0,100%
97,"00:07:28,680","00:07:30,762",Tony Stark,I know you're hiding more than files.,I know you're hiding more than files,1.0,100%
