,speakers,captions,lines
446,Tony Stark,"['as Hulk is wreaking havoc on the nearest city Stark Tony comes brings out his Hulkbuster armor to stop him', 'to Hulk']","I'm calling in VERONICA.  Alright everybody, stand down!  You listening? That little witch is messing with your mind. You're stronger than her, you're smarter than her, you're Bruce Banner."
447,Tony Stark,"['Hulk throws a car at Stark and attacks him', 'they start fighting, throwing each other around', 'they battle it out more but Stark is struggling to beat Hulk', ""as Hulk destroyed one of Stark's arms, VERONICA sends in a new one and Stark uses it to repeatedly punch Hulk"", 'picking up Hulk', 'as they head towards a building', 'they crash through the building', 'Hulk continues to battle with him; as he stops an elevator, to the people inside', 'after he knocks down Hulk', 'Hulk attacks Stark and pulls out parts of the Hulkbuster armor', 'the damaged computer buzzes a reply', 'the computer shows him the building ahead is clear of civilians', ""Stark drops Hulk through the building completely destroying it; at the same time the army arrives to intervene, as Hulk comes out of Wanda's mind-hold Stark knocks him out cold""]","Right, right, right! Don't mention puny Banner.  Okay.  In the back? Dick move, Banner.  VERONICA, gimme a hand.  Go to sleep, go to sleep, go to sleep!  Okay, pal, we're gonna get you out of town.  No, not that way, not that way!  Come on, Bruce! You gotta work with me!  Everybody out! Going to get ugly!  I'm sorry.  Damage report.  That's comprehensive. Show me something.  How quickly can we buy this building?"
448,Maria Hill,,"The news is loving you guys. Nobody else is. There's been no official call for Banner's arrest, but it's in the air."
449,Tony Stark,,Stark Relief Foundation?
450,Maria Hill,,Already on the scene. How's the team?
451,Tony Stark,,Everyone's...we took a hit. We'll shake it off.
452,Maria Hill,,"Well for now I'd stay in stealth mode, and stay away from here."
453,Tony Stark,,"So, run and hide?"
454,Maria Hill,,"Until we can find Ultron, I don't have a lot else to offer."
455,Tony Stark,"[""he ends the call and switches off the monitor; to Barton, who's flying the Quinjet""]","Neither do we.  Hey, you wanna switch out?"
456,Clint Barton,,"No, I'm good. If you wanna get some kip, now's a good time, cause we're still a few hours out."
457,Tony Stark,,A few hours from where?
458,Clint Barton,,A safe house.
459,Thor,,What is this place?
460,Tony Stark,,A safe house?
461,Clint Barton,['they all enter the house'],"Let's hope.  Honey, I'm home."
462,Clint Barton,,Hi. Company. Sorry I didn't call ahead.
463,Laura Barton,,Hey.
464,Tony Stark,['Laura kisses Barton; to Thor'],This is an agent of some kind.
465,Clint Barton,['introducing his wife to the team'],"Gentleman, this is Laura."
466,Laura Barton,,I know all your names.
467,Clint Barton,"[""Barton's children, Cooper and Lila, run in""]","Ooh, incoming."
468,Lila Barton,['Barton picks up his daughter'],Dad!
469,Clint Barton,"[""kissing the top of his son's head""]","Hi, sweetheart!  Hey, buddy! How you guys doing? Ooh..."
470,Tony Stark,['to the others as they watch with surprise'],These are...smaller agents.
471,Clint Barton,,"Look at your face! Oh, my goodness!"
472,Lila Barton,,Did you bring Auntie Nat?
473,Natasha Romanoff,,Why don't you hug her and find out?
474,Steve Rogers,,Sorry for barging in on you.
475,Tony Stark,,"Yeah, we would have called ahead, but we were busy having no idea that you existed."
476,Clint Barton,,"Yeah, well Fury helped me set this up when I joined. He kept it off SHIELD's files, I'd like to keep it that way. I figure it's a good place to lay low."
477,Laura Barton,,"Honey. Ah, I missed you."
478,Natasha Romanoff,"[""touching Laura's stomach""]","How's little Natasha, huh?"
479,Laura Barton,,She'sâ€¦Nathaniel.
480,Natasha Romanoff,,Traitor.
481,Steve Rogers,,Thor.
482,Thor,"[""Thor uses his hammer to fly away; Steve turns to enter the house when he hears Peggy's voice from Wanda's vision""]","I saw something in that dream. I need answers, I won't find them here."
483,Peggy Carter,,We can go home.
484,Clint Barton,,"See, you worried for nothing. Can't even feel the difference, can you?"
485,Laura Barton,,"If they're sleeping here, some of them are gonna have to double up."
486,Clint Barton,['Barton laughs'],"Yeah, that's not gonna sell."
487,Laura Barton,,What about Nat and Dr. Banner? How long has that been going on?
488,Clint Barton,,Has what?
489,Laura Barton,['Laura laughs'],You are so cute.
490,Clint Barton,,Nat andâ€¦ and Banner?
491,Laura Barton,,"I'll explain when you're older, Hawkeye."
492,Clint Barton,,Oh. Okay.
493,Laura Barton,,"It's bad, right? Nat seems really shaken."
494,Clint Barton,,"Ultron has these allies, these uh, kids, they're punks really. They carry a big damn stick and Nat took a serious hit. Someone's gonna have to teach 'em some manners."
495,Laura Barton,,"And that someone be you. You know I totally support your Avenging, I couldn't be prouder. But I see those guys, those ""Gods""..."
496,Clint Barton,,You don't think they need me.
497,Laura Barton,,I think they do. Which is a lot scarier. They're a mess.
498,Clint Barton,,Yeah. I guess they're my mess.
499,Laura Barton,,"You need to be sure that this team is really a team and that they have your back. Things are changing for us. In a few months time, you and me are gonna be outnumbered. I need-- ...just be sure."
500,Clint Barton,"['he kisses her, then as Laura places her arm around his waist she touches his wounded side']","Yes, ma'am."
501,Laura Barton,,I can feel the difference.
502,Ultron,,"Scream, and your entire staff dies. I could've killed you, Helen, the night we met. I didn't."
503,Dr. Helen Cho,,Do you expect a thank you note?
504,Ultron,,I expect you to know why.
505,Dr. Helen Cho,['she hears her own recorded voice'],"The Cradle.  ""This is the next thing, Tony."""
506,Ultron,,This...is the next me.
507,Dr. Helen Cho,,"The regeneration cradle prints tissue, it can't build a living body."
508,Ultron,['Ultron uses the scepter to mind-control Cho'],"It can, you can. You lack the materials. You're a brilliant woman, Helen. But we all have room to improve."
509,Bruce Banner,,I didn't realize you were waiting.
510,Natasha Romanoff,,"I would've joined you, but uh, it didn't seem like the right time."
511,Bruce Banner,,They used up all the hot water.
512,Natasha Romanoff,,I should've joined you.
513,Bruce Banner,,Missed our window.
514,Natasha Romanoff,,Did we?
515,Bruce Banner,,"The world just saw the Hulk. The real Hulk, for the first time. You know I have to leave."
516,Natasha Romanoff,,"But you assume that I have to stay? I had this, um, dream. The kind that seems normal at the time, but when you wake..."
517,Bruce Banner,,What did you dream?
518,Natasha Romanoff,,That I was an Avenger. That I was anything more than the assassin they made me.
519,Bruce Banner,,I think you're being hard on yourself.
520,Natasha Romanoff,['she moves closer to him'],Here I was hoping that was your job.
521,Bruce Banner,,What are you doing?
522,Natasha Romanoff,,"I'm running with it, with you. If running's the plan, as far as you want."
523,Bruce Banner,['Banner turns away from her'],Are you out of your mind?
524,Natasha Romanoff,,I want you to understand that I'm...
525,Bruce Banner,,"Natasha, where can I go? Where in the world am I not a threat?"
526,Natasha Romanoff,,You're not a threat to me.
527,Bruce Banner,,"You sure? Even if I didn't just... there's no future with me. I can't ever... I can't have this, kids. Do the math, I physically can't."
528,Natasha Romanoff,['she hesitates a moment'],"Neither can I. In the Red Room, where I was trained, where I was raised, um, they have a graduation ceremony. They sterilize you. It's efficient. One less thing to worry about. The one thing that might matter more than a mission. It makes everything easier. Even killing.  You still think you're the only monster on the team?"
529,Bruce Banner,,"What, so we disappear?"
530,Tony Stark,,Thor didn't say where he was going for answers?
531,Steve Rogers,,Sometimes my teammates don't tell me things. I was kind of hoping Thor would be the exception.
532,Tony Stark,,"Yeah, give him time. We don't know what the Maximoff kid showed him."
533,Steve Rogers,,"""Earth's Mightiest Heroes."" Pulled us apart like cotton candy."
534,Tony Stark,,Seems like you walked away all right.
535,Steve Rogers,,Is that a problem?
536,Tony Stark,,I don't trust a guy without a dark side. Call me old fashioned.
537,Steve Rogers,,Well let's just say you haven't seen it yet.
538,Tony Stark,,"You know Ultron is trying to tear us apart, right?"
539,Steve Rogers,,Well I guess you'd know. Whether you tell us is a bit of a question.
540,Tony Stark,,Banner and I were doing research.
541,Steve Rogers,,That would affect the team.
542,Tony Stark,,"That would end the team. Isn't that the mission? Isn't that the ""why"" we fight, so we can end the fight, so we get to go home?"
543,Steve Rogers,,"Every time someone tries to win a war before it starts, innocent people die. Every time."
