,line,start,end
428,"Go ahead, Steve. No pressure.","00:28:36,520","00:28:38,170"
429,"Come on, Cap.","00:28:41,040","00:28:42,371"
430,Nothing.,"00:28:50,560","00:28:52,369"
431,"And, Widow?","00:28:53,680","00:28:55,330"
432,"No, no.","00:28:55,480","00:28:57,642"
433,That's not a question I need answered.,"00:28:55,480","00:28:57,642"
434,"All deference to the Man Who Wouldn't Be King, but it's rigged.","00:28:57,840","00:29:00,411"
435,You bet your ass.,"00:29:00,640","00:29:01,766"
436,"Steve, he said a bad language word.","00:29:01,880","00:29:04,486"
437,Did you tell everyone about that?,"00:29:01,880","00:29:04,486"
438,"The handle's imprinted, right?","00:29:04,600","00:29:06,640"
439,Like a security code.,"00:29:04,600","00:29:06,640"
440,Whosoever is carrying Thor's fingerprints,"00:29:06,680","00:29:08,360"
441,"is, I think, the literal translation.","00:29:08,480","00:29:09,811"
442,"Yes. It's a very, very interesting theory.","00:29:09,920","00:29:13,367"
443,I have a simpler one.,"00:29:13,840","00:29:15,330"
444,You're all not worthy.,"00:29:16,960","00:29:17,961"
445,Come on!,"00:29:19,400","00:29:20,526"
446,Worthy.,"00:29:24,680","00:29:29,925"
447,No.,"00:29:35,040","00:29:36,565"
448,How could you be worthy?,"00:29:38,520","00:29:40,045"
449,You're all killers.,"00:29:42,000","00:29:43,161"
450,Stark.,"00:29:43,760","00:29:45,046"
451,Jarvis.,"00:29:43,760","00:29:45,046"
452,"I'm sorry, I was asleep.","00:29:45,360","00:29:47,408"
453,Or I was adream.,"00:29:47,520","00:29:49,921"
454,Reboot Legionnaire OS.,"00:29:50,320","00:29:52,641"
455,We got a buggy suit.,"00:29:50,320","00:29:52,641"
456,There was this terrible noise.,"00:29:52,760","00:29:54,649"
457,And I was tangled in...,"00:29:54,760","00:29:57,206"
458,In...,"00:29:57,360","00:29:58,930"
459,Strings.,"00:29:59,080","00:30:00,286"
460,I had to kill the other guy.,"00:30:01,160","00:30:04,289"
461,He was a good guy.,"00:30:01,160","00:30:04,289"
462,You killed someone?,"00:30:04,600","00:30:05,726"
463,Wouldn't have been my first call.,"00:30:05,840","00:30:07,285"
464,"But, down in the real world, we're faced with ugly choices.","00:30:08,040","00:30:11,761"
465,Who sent you?,"00:30:11,920","00:30:12,967"
466,I see a suit of armour around the world.,"00:30:13,440","00:30:15,522"
467,Ultron.,"00:30:17,520","00:30:19,284"
468,In the flesh.,"00:30:17,520","00:30:19,284"
469,"Or, no, not yet.","00:30:19,720","00:30:21,688"
470,Not this chrysalis.,"00:30:22,040","00:30:24,520"
471,But I'm ready.,"00:30:25,040","00:30:26,280"
472,I'm on mission.,"00:30:27,440","00:30:29,408"
473,What mission?,"00:30:29,560","00:30:32,609"
474,Peace in our time.,"00:30:29,560","00:30:32,609"
475,Rhodey!,"00:30:46,400","00:30:47,401"
476,Sorry.,"00:30:56,800","00:30:57,847"
477,Don't turn green.,"00:30:58,000","00:30:59,160"
478,I won't.,"00:30:58,000","00:30:59,160"
479,Come on!,"00:31:12,760","00:31:14,046"
480,Stark!,"00:31:31,680","00:31:32,966"
481,We are here to help.,"00:31:31,680","00:31:32,966"
482,"One sec. One sec, I got this.","00:31:33,160","00:31:34,161"
483,We are here to help.,"00:31:34,280","00:31:35,281"
484,Please back away.,"00:31:38,000","00:31:40,241"
485,Thor!,"00:31:44,480","00:31:45,561"
486,...is unsafe. ...is unsafe...,"00:31:46,640","00:31:48,244"
487,Come on! That's the one.,"00:31:48,360","00:31:50,249"
488,...is unsafe.,"00:31:48,360","00:31:50,249"
489,"Hey, Cap!","00:31:54,840","00:31:56,001"
490,That was dramatic.,"00:32:02,160","00:32:03,446"
491,"I'm sorry, I know you mean well.","00:32:05,000","00:32:07,571"
492,You just didn't think it through.,"00:32:07,680","00:32:09,444"
493,You want to protect the world but you don't want it to change.,"00:32:10,800","00:32:14,527"
494,How is humanity saved,"00:32:15,240","00:32:17,368"
495,if it's not allowed to evolve?,"00:32:17,520","00:32:20,524"
496,With these? These puppets.,"00:32:22,520","00:32:25,569"
497,There's only one path to peace.,"00:32:28,560","00:32:31,166"
498,The Avengers' extinction.,"00:32:32,320","00:32:33,526"
499,"I had strings, but now I'm free.","00:32:40,880","00:32:44,930"
500,There are no strings on me,"00:32:49,600","00:32:52,729"
501,There are no strings on me,"00:32:53,360","00:32:57,888"
502,But you can see There are no strings on me,"00:32:58,080","00:33:01,448"
503,All our work is gone.,"00:33:03,120","00:33:05,122"
504,Ultron cleared out. He used the Internet as an escape hatch.,"00:33:05,240","00:33:07,641"
505,Ultron.,"00:33:08,240","00:33:09,287"
506,He's been in everything.,"00:33:09,400","00:33:12,449"
507,"Files, surveillance.","00:33:09,400","00:33:12,449"
508,Probably knows more about us than we know about each other.,"00:33:12,560","00:33:15,006"
509,"He's in your files, he's in the Internet.","00:33:15,120","00:33:17,566"
510,What if he decides to access something a little more exciting?,"00:33:17,760","00:33:20,331"
511,Nuclear codes.,"00:33:20,440","00:33:21,566"
512,Nuclear codes.,"00:33:21,720","00:33:24,087"
513,"Look, we need to make some calls, assuming we still can.","00:33:21,720","00:33:26,242"
514,Nukes? He said he wanted us dead.,"00:33:26,400","00:33:28,289"
515,He didn't say dead. He said extinct.,"00:33:28,440","00:33:31,250"
516,He also said he killed somebody.,"00:33:31,440","00:33:32,930"
517,There wasn't anyone else in the building.,"00:33:33,040","00:33:34,640"
518,"Yes, there was.","00:33:35,480","00:33:36,970"
519,What?,"00:33:43,920","00:33:45,410"
520,This is insane.,"00:33:49,120","00:33:50,167"
521,Jarvis was the first line of defence.,"00:33:51,000","00:33:52,490"
522,He would have shut Ultron down.,"00:33:52,600","00:33:54,489"
523,It makes sense.,"00:33:52,600","00:33:54,489"
524,No. Ultron could have assimilated Jarvis.,"00:33:54,600","00:33:57,604"
525,This isn't strategy. This is,"00:33:57,800","00:34:00,451"
526,rage.,"00:34:01,040","00:34:02,121"
527,It's going around.,"00:34:04,120","00:34:05,485"
528,"Come on, use your words, buddy.","00:34:05,600","00:34:06,840"
529,"I have more than enough words to describe you, Stark.","00:34:06,960","00:34:09,167"
530,Thor. The Legionnaire.,"00:34:09,280","00:34:10,520"
531,"Trail went cold about 100 miles out, but it's headed north.","00:34:13,800","00:34:17,361"
532,And it has the sceptre.,"00:34:17,480","00:34:18,925"
533,"Now we have to retrieve it, again.","00:34:19,320","00:34:21,004"
534,Genie's out of that bottle.,"00:34:21,160","00:34:22,969"
535,Clear and present is Ultron.,"00:34:23,120","00:34:24,326"
536,I don't understand.,"00:34:24,480","00:34:26,130"
537,You built this program.,"00:34:26,640","00:34:28,563"
538,Why is it trying to kill us?,"00:34:30,320","00:34:31,731"
539,You think this is funny?,"00:34:38,600","00:34:39,761"
540,No.,"00:34:40,520","00:34:41,851"
541,"It's probably not, right?","00:34:42,440","00:34:44,363"
542,This is very terrible. Is it so...,"00:34:45,440","00:34:47,761"
543,Is it so... It is. It's so terrible.,"00:34:47,880","00:34:50,042"
544,This could have been avoided if you hadn't played,"00:34:50,160","00:34:51,730"
545,with something you don't understand.,"00:34:51,840","00:34:53,365"
546,No. I'm sorry. I'm sorry. It is funny.,"00:34:53,520","00:34:56,171"
547,It's a hoot that you don't get why we need this.,"00:34:56,320","00:34:58,482"
548,"Tony, maybe this might not be the time.","00:34:58,640","00:35:00,802"
549,Really? That's it?,"00:35:00,960","00:35:03,281"
550,"You just roll over, show your belly every time somebody snarls?","00:35:03,400","00:35:06,364"
551,Only when I've created a murder bot.,"00:35:06,520","00:35:07,760"
552,We didn't. We weren't even close.,"00:35:07,880","00:35:11,446"
553,Were we close to an interface?,"00:35:07,880","00:35:11,446"
554,"Well, you did something right.","00:35:11,560","00:35:15,121"
555,And you did it right here.,"00:35:11,560","00:35:15,121"
556,The Avengers were supposed to be different than S.H.I.E.L.D.,"00:35:15,200","00:35:17,009"
557,Anybody remember when I carried a nuke through a wormhole?,"00:35:17,240","00:35:20,210"
558,"No, it's never come up.","00:35:20,360","00:35:21,885"
559,Saved New York?,"00:35:20,360","00:35:21,885"
560,Never heard that.,"00:35:22,040","00:35:23,963"
561,Recall that?,"00:35:22,040","00:35:23,963"
562,A hostile alien army came charging through a hole in space.,"00:35:24,080","00:35:27,766"
563,We're standing 300 feet below it.,"00:35:28,360","00:35:30,567"
564,We're the Avengers.,"00:35:32,200","00:35:33,725"
565,"We can bust arms dealers all the livelong day, but that up there, that's...","00:35:33,880","00:35:38,321"
566,That's the endgame.,"00:35:39,040","00:35:40,963"
567,How were you guys planning on beating that?,"00:35:41,560","00:35:43,449"
568,Together.,"00:35:44,360","00:35:45,771"
569,We'll lose.,"00:35:49,120","00:35:50,485"
570,"Then we'll do that together, too.","00:35:51,560","00:35:53,483"
571,Thor's right. Ultron's calling us out.,"00:35:56,400","00:35:58,687"
572,And I'd like to find him before he's ready for us.,"00:35:59,560","00:36:01,520"
573,The world's a big place.,"00:36:02,760","00:36:06,443"
574,Let's start making it smaller.,"00:36:02,760","00:36:06,443"
575,"Talk, and if you are wasting our time...","00:36:29,600","00:36:31,648"
576,Did you know this church is in the exact centre of the city?,"00:36:31,760","00:36:36,129"
577,The elders decreed it so that everyone could be equally close to God.,"00:36:36,280","00:36:40,886"
578,I like that.,"00:36:41,400","00:36:42,561"
579,The geometry of belief.,"00:36:43,080","00:36:45,003"
580,You're wondering why you can't look inside my head.,"00:36:47,120","00:36:49,487"
581,Sometimes it's hard.,"00:36:49,960","00:36:51,928"
582,"But sooner or later, every man shows himself.","00:36:52,080","00:36:54,367"
583,I'm sure they do.,"00:36:56,120","00:36:57,451"
584,But you needed something more than a man.,"00:36:58,560","00:37:00,961"
585,That's why you let Stark take the sceptre.,"00:37:01,800","00:37:04,326"
586,"I didn't expect, but I saw Stark's fear.","00:37:04,720","00:37:10,163"
587,I knew it would control him.,"00:37:10,800","00:37:12,040"
588,Make him selfdestruct.,"00:37:12,160","00:37:14,003"
589,Everyone creates the thing they dread.,"00:37:14,160","00:37:16,481"
590,Men of peace create engines of war.,"00:37:17,320","00:37:19,926"
591,Invaders create Avengers.,"00:37:20,440","00:37:22,602"
592,People create,"00:37:22,840","00:37:24,285"
593,smaller people?,"00:37:25,840","00:37:27,842"
594,"Children. I lost the word, there.","00:37:27,960","00:37:31,043"
595,Children,"00:37:31,160","00:37:32,525"
596,"designed to supplant them, to help them end.","00:37:32,680","00:37:37,850"
597,"Is that why you've come, to end the Avengers?","00:37:38,600","00:37:41,881"
598,I've come to save the world.,"00:37:42,000","00:37:44,321"
599,But also... Yeah.,"00:37:45,000","00:37:47,651"
600,We'll move out right away.,"00:37:51,840","00:37:53,524"
601,"This is a start, but there's something we need to begin the real work.","00:37:53,640","00:37:56,805"
602,All of these are...,"00:37:57,200","00:37:58,929"
603,Me.,"00:37:57,200","00:37:58,929"
604,I have what the Avengers never will. Harmony.,"00:37:59,600","00:38:03,002"
605,They're discordant. Disconnected.,"00:38:03,160","00:38:05,367"
606,Stark's already got them turning on each other.,"00:38:05,520","00:38:07,360"
607,And when you get inside the rest of their heads...,"00:38:07,480","00:38:09,881"
608,Everyone's plan is not to kill them.,"00:38:10,000","00:38:12,162"
609,And make them martyrs?,"00:38:12,280","00:38:13,770"
610,You need patience.,"00:38:14,360","00:38:15,964"
611,Need to see the big picture.,"00:38:16,120","00:38:17,804"
612,I don't see the big picture.,"00:38:17,960","00:38:21,203"
613,I have a little picture.,"00:38:17,960","00:38:21,203"
614,"I take it out and look at it, every day.","00:38:22,400","00:38:25,961"
615,You lost your parents in the bombings.,"00:38:26,120","00:38:28,930"
616,I've seen the records.,"00:38:26,120","00:38:28,930"
617,The records are not the picture.,"00:38:29,040","00:38:30,201"
618,Pietro.,"00:38:30,320","00:38:32,721"
619,"No, please.","00:38:30,320","00:38:32,721"
620,We were 10 years old.,"00:38:35,800","00:38:38,963"
621,"Having dinner, the four of us.","00:38:35,800","00:38:38,963"
622,"When the first shell hits, two floors below, it makes a hole in the floor.","00:38:40,560","00:38:44,562"
623,It's big.,"00:38:44,720","00:38:46,245"
624,Our parents go in,"00:38:47,640","00:38:49,449"
625,and the whole building starts coming apart.,"00:38:49,560","00:38:52,643"
626,"I grab her, roll under the bed, and the second shell hits.","00:38:53,360","00:38:57,688"
627,But it doesn't go off.,"00:38:58,040","00:38:59,963"
628,It just,"00:39:02,000","00:39:03,650"
629,sits there in the rubble.,"00:39:04,160","00:39:06,083"
630,Three feet from our faces.,"00:39:07,080","00:39:09,367"
631,And on the side of the shell is painted one word.,"00:39:10,440","00:39:13,925"
632,Stark.,"00:39:14,120","00:39:15,770"
633,We were trapped for two days.,"00:39:17,600","00:39:19,728"
634,"Every effort to save us, every shift in the bricks, I think, This will set it off.","00:39:20,200","00:39:26,167"
635,We wait for two days for Tony Stark to kill us.,"00:39:29,440","00:39:33,287"
636,I know what they are.,"00:39:35,800","00:39:37,643"
637,I wondered why only you two survived Strucker's experiments.,"00:39:38,800","00:39:42,566"
638,Now I don't.,"00:39:43,560","00:39:44,721"
639,We will make it right.,"00:39:45,120","00:39:46,849"
640,You and I can hurt them.,"00:39:47,320","00:39:48,810"
641,But you will tear them apart,"00:39:50,280","00:39:53,568"
642,from the inside.,"00:39:55,560","00:39:57,403"
643,He's all over the globe.,"00:40:04,000","00:40:05,206"
644,"Robotics labs, weapons facilities, jet propulsion labs.","00:40:05,320","00:40:08,529"
645,"Reports of a metal man, or men, coming in and emptying the place.","00:40:08,640","00:40:12,729"
646,Fatalities?,"00:40:12,840","00:40:14,001"
647,Only when engaged.,"00:40:14,120","00:40:15,201"
648,Mostly guys left in a fugue state,"00:40:15,320","00:40:16,970"
649,"going on about old memories, worst fears, and something too fast to see.","00:40:17,080","00:40:21,682"
650,Maximoffs.,"00:40:21,800","00:40:23,211"
651,That makes sense he'd go to them.,"00:40:23,480","00:40:26,165"
652,They have someone in common.,"00:40:23,480","00:40:26,165"
653,Not any more.,"00:40:26,280","00:40:28,203"
654,That's a negative. I answer to you.,"00:40:32,080","00:40:34,003"
655,"Yes, ma'am.","00:40:35,360","00:40:36,407"
656,Barton. Might have something.,"00:40:36,520","00:40:38,329"
657,I gotta go.,"00:40:38,840","00:40:39,887"
658,Who was that?,"00:40:40,040","00:40:41,201"
659,Girlfriend.,"00:40:42,000","00:40:43,240"
660,What's this?,"00:40:46,000","00:40:47,126"
661,A message. Ultron killed Strucker.,"00:40:47,280","00:40:49,487"
662,"And he did a Banksy at the crime scene, just for us.","00:40:51,000","00:40:53,731"
663,This is a smoke screen.,"00:40:53,880","00:40:55,291"
664,Why send a message when you've just given a speech?,"00:40:55,400","00:40:57,801"
665,Strucker knew something that Ultron wanted us to miss.,"00:40:57,920","00:41:00,287"
666,"Yeah, I bet he... Yeah.","00:41:00,400","00:41:02,209"
667,Everything we had on Strucker's been erased.,"00:41:02,880","00:41:04,600"
668,Not everything.,"00:41:04,960","00:41:06,200"
669,Known associates.,"00:41:07,840","00:41:09,490"
670,Baron Strucker had a lot of friends.,"00:41:10,000","00:41:11,570"
671,"Well, these people are all horrible.","00:41:11,720","00:41:13,160"
672,Wait. I know that guy.,"00:41:13,440","00:41:15,169"
673,From back in the day.,"00:41:17,640","00:41:19,210"
674,He operates off the African coast.,"00:41:17,640","00:41:19,210"
675,Black market arms.,"00:41:19,320","00:41:20,321"
676,There are conventions.,"00:41:21,560","00:41:23,520"
677,All right? You meet people.,"00:41:21,560","00:41:23,520"
678,I didn't sell him anything.,"00:41:23,560","00:41:24,891"
679,"He was talking about finding something new, a gamechanger.","00:41:25,760","00:41:27,762"
680,It was all very Ahab.,"00:41:27,920","00:41:29,251"
681,This?,"00:41:30,040","00:41:31,166"
682,"It's a tattoo, I don't think he had it.","00:41:31,320","00:41:32,321"
683,"Those are tattoos, this is a brand.","00:41:32,440","00:41:34,807"
684,Yeah. It's a word in an African dialect meaning thief.,"00:41:36,480","00:41:39,962"
685,In a much less friendly way.,"00:41:40,560","00:41:41,925"
686,What dialect?,"00:41:42,200","00:41:43,964"
687,Wakanada.,"00:41:42,200","00:41:43,964"
688,Wakanda.,"00:41:44,080","00:41:45,809"
689,If this guy got out of Wakanda with some of their trade goods...,"00:41:47,400","00:41:49,920"
690,I thought your father said he got the last of it.,"00:41:50,000","00:41:51,161"
691,I don't follow.,"00:41:51,240","00:41:54,170"
692,What comes out of Wakanda?,"00:41:51,240","00:41:54,170"
693,The strongest metal on Earth.,"00:41:56,000","00:41:57,923"
694,Where is this guy now?,"00:41:59,280","00:42:00,611"
695,Don't tell me your men swindled you.,"00:42:26,000","00:42:27,809"
696,I sent you six shortrange heatseekers and got a boat full of rusted parts.,"00:42:27,960","00:42:33,086"
697,"Now, you will make it right, or the next missile I send you will come very much faster.","00:42:33,200","00:42:37,803"
698,"Now, minister, where were we?","00:42:39,720","00:42:42,166"
699,Yeah. The Enhanced.,"00:43:13,800","00:43:16,690"
700,Strucker's prize pupils.,"00:43:17,400","00:43:19,004"
701,Do you want a candy?,"00:43:22,200","00:43:23,850"
702,I was sorry to hear about Strucker.,"00:43:25,360","00:43:27,931"
703,"But then, he knew what kind of world he was helping create.","00:43:28,080","00:43:31,084"
704,Human life. Not a growth market.,"00:43:31,680","00:43:34,081"
705,You didn't know?,"00:43:36,800","00:43:38,450"
706,Is this your first time intimidating someone?,"00:43:38,880","00:43:42,362"
707,I'm afraid I'm not that afraid.,"00:43:42,680","00:43:45,206"
708,Everybody is afraid of something.,"00:43:45,360","00:43:47,681"
709,Cuttlefish.,"00:43:47,800","00:43:48,801"
710,Deep sea fish.,"00:43:50,120","00:43:51,485"
711,"They make lights, disco lights...","00:43:51,560","00:43:53,210"
712,"...to hypnotise their prey, and then...","00:43:54,880","00:43:56,723"
713,I saw a documentary. It was terrifying.,"00:43:58,000","00:44:00,128"
714,So if you're going to fiddle with my brain,"00:44:05,600","00:44:08,171"
715,"and make me see a giant cuttlefish, then I know you don't do business.","00:44:09,120","00:44:13,682"
716,And I know you're not in charge.,"00:44:13,800","00:44:16,121"
717,And I only deal,"00:44:16,320","00:44:17,606"
718,with the man in charge.,"00:44:18,680","00:44:20,330"
719,There is no man in charge.,"00:44:25,360","00:44:27,761"
720,Let's talk business.,"00:44:30,760","00:44:32,444"
721,"Upon this rock, I will build my church.","00:44:45,400","00:44:48,688"
722,Vibranium.,"00:44:50,440","00:44:51,726"
723,"You know, it came at great personal cost.","00:44:52,840","00:44:57,284"
724,It's worth billions.,"00:44:57,680","00:44:59,284"
725,Now so are you.,"00:45:03,600","00:45:04,681"
726,It's all under your dummy holdings.,"00:45:06,080","00:45:07,650"
727,Finance is so weird.,"00:45:07,760","00:45:09,762"
728,"But I always say, Keep your friends rich and your enemies rich","00:45:11,280","00:45:14,642"
729,and wait to find out which is which.,"00:45:14,800","00:45:16,609"
730,Stark.,"00:45:19,480","00:45:20,527"
731,What?,"00:45:21,920","00:45:23,046"
732,Tony Stark used to say that.,"00:45:23,240","00:45:24,969"
733,To me.,"00:45:26,560","00:45:27,607"
734,You're one of his.,"00:45:28,480","00:45:29,641"
735,What? I'm not...,"00:45:29,960","00:45:31,644"
736,I'm not.,"00:45:33,960","00:45:35,007"
737,You think I'm one of Stark's puppets?,"00:45:35,160","00:45:36,650"
738,His hollow men?,"00:45:36,760","00:45:37,886"
739,"I mean, look at me.","00:45:38,320","00:45:40,527"
740,Do I look like Iron Man?,"00:45:38,320","00:45:40,527"
741,Stark is nothing!,"00:45:40,680","00:45:42,011"
742,I'm sorry. I'm...,"00:45:43,760","00:45:45,967"
743,I'm sure that's gonna be okay. I'm sorry.,"00:45:46,080","00:45:48,082"
744,It's just that I don't understand.,"00:45:48,200","00:45:49,884"
745,Don't compare me with Stark!,"00:45:50,000","00:45:52,287"
746,It's a thing with me.,"00:45:55,040","00:45:56,166"
747,Stark is... He's a sickness!,"00:45:56,280","00:45:58,169"
748,Junior.,"00:45:58,320","00:46:00,004"
749,You're gonna break your old man's heart.,"00:46:01,880","00:46:03,440"
750,If I have to.,"00:46:04,720","00:46:05,767"
751,Nobody has to break anything.,"00:46:08,080","00:46:09,491"
752,Clearly you've never made an omelette.,"00:46:09,600","00:46:11,250"
753,He beat me by one second.,"00:46:11,440","00:46:12,646"
754,Yes. He's funny.,"00:46:13,840","00:46:15,205"
755,Mr Stark.,"00:46:15,560","00:46:16,971"
756,It's what? Comfortable?,"00:46:17,840","00:46:19,444"
757,Like old times?,"00:46:21,080","00:46:22,366"
758,This was never my life.,"00:46:22,680","00:46:23,681"
759,You two can still walk away from this.,"00:46:23,880","00:46:25,120"
760,We will.,"00:46:25,280","00:46:26,725"
761,I know you've suffered.,"00:46:26,920","00:46:27,921"
762,Captain America.,"00:46:28,840","00:46:30,251"
763,God's righteous man.,"00:46:30,920","00:46:33,366"
764,Pretending you could live without a war.,"00:46:33,480","00:46:35,801"
765,"I can't physically throw up in my mouth, but...","00:46:36,600","00:46:39,570"
766,"If you believe in peace, then let us keep it.","00:46:39,720","00:46:41,802"
767,I think you're confusing peace with quiet.,"00:46:42,200","00:46:45,568"
768,What's the vibranium for?,"00:46:45,720","00:46:47,484"
769,"I'm glad you asked that, because I wanted to take this time to explain my evil plan.","00:46:47,800","00:46:52,646"
770,Shoot them.,"00:47:12,200","00:47:13,770"
771,Which ones?,"00:47:12,200","00:47:13,770"
772,All of them!,"00:47:14,120","00:47:15,281"
773,Move! Move! Move!,"00:47:15,400","00:47:16,731"
774,"Stay down, kid.","00:48:05,680","00:48:06,841"
775,It's time for some mind games.,"00:48:09,240","00:48:11,686"
776,Guys? Is this a code green?,"00:48:13,040","00:48:15,327"
777,"Thor, status.","00:48:31,200","00:48:32,804"
778,The girl tried to warp my mind.,"00:48:32,880","00:48:34,325"
779,Take special care.,"00:48:34,480","00:48:37,962"
780,I doubt a human could keep her at bay.,"00:48:34,480","00:48:37,962"
781,"Fortunately, I am mighty.","00:48:38,360","00:48:41,364"
782,This is going very well.,"00:49:01,080","00:49:03,367"
783,I've done the whole mind control thing.,"00:49:14,960","00:49:16,520"
784,Not a fan.,"00:49:17,320","00:49:18,321"
785,"Yeah, you better run.","00:49:25,960","00:49:27,928"
786,"Who's ever standing, we got to move!","00:49:29,640","00:49:31,449"
787,Guys?,"00:49:33,520","00:49:34,567"
788,Again.,"00:49:52,320","00:49:53,606"
789,You'll break them.,"00:49:53,920","00:49:55,126"
790,Only the breakable ones.,"00:49:55,600","00:49:57,329"
791,You're made of marble.,"00:49:57,880","00:49:59,325"
792,We'll celebrate after the graduation ceremony.,"00:49:59,760","00:50:01,922"
793,What if I fail?,"00:50:02,840","00:50:03,966"
794,You never fail.,"00:50:09,600","00:50:10,840"
795,Are you ready for our dance?,"00:50:33,680","00:50:35,603"
796,Is it him?,"00:50:44,800","00:50:45,847"
797,Is that the first son of Odin?,"00:50:46,200","00:50:48,043"
798,"Heimdall, your eyes.","00:50:48,640","00:50:50,130"
799,They see everything.,"00:50:50,800","00:50:52,689"
800,They see you leading us to Hel.,"00:50:53,040","00:50:55,327"
801,Wake up!,"00:50:56,440","00:50:57,680"
802,"The war is over, Steve.","00:51:00,680","00:51:02,648"
803,We can go home.,"00:51:03,000","00:51:04,331"
804,Imagine it.,"00:51:06,160","00:51:07,366"
805,I can still save you!,"00:51:16,640","00:51:18,210"
806,We're all dead! Can you not see?,"00:51:18,560","00:51:21,848"
807,"You're a destroyer, Odinson.","00:51:26,600","00:51:28,841"
808,See where your power leads.,"00:51:32,000","00:51:34,002"
809,Sloppy.,"00:51:45,000","00:51:46,161"
810,Pretending to fail.,"00:51:47,840","00:51:48,841"
811,The ceremony is necessary,"00:51:49,840","00:51:51,205"
812,for you to take your place in the world.,"00:51:52,520","00:51:54,443"
813,I have no place in the world.,"00:51:55,440","00:51:56,600"
814,Exactly.,"00:51:56,720","00:51:57,801"
815,What can I do?,"00:52:02,640","00:52:04,961"
816,It hurts.,"00:52:02,640","00:52:04,961"
817,I'm going to kill him.,"00:52:06,200","00:52:07,247"
818,I'll be right back.,"00:52:07,360","00:52:08,566"
819,No.,"00:52:07,360","00:52:08,566"
820,I'm all right.,"00:52:08,720","00:52:10,051"
821,I want...,"00:52:10,920","00:52:12,046"
822,I want to finish the plan.,"00:52:15,000","00:52:16,889"
823,I want the big one.,"00:52:17,720","00:52:19,404"
824,The vibranium is getting away.,"00:52:30,320","00:52:32,049"
825,And you're not going anywhere.,"00:52:33,000","00:52:34,331"
826,Of course not. I'm already there.,"00:52:34,440","00:52:37,250"
827,You'll catch on.,"00:52:37,400","00:52:38,401"
828,"But first, you might need to catch Dr Banner.","00:52:38,520","00:52:40,921"
829,"News or footage. Keyword, Hulk.","00:52:55,720","00:52:57,609"
830,"Natasha, I could really use a lullaby.","00:53:02,440","00:53:04,249"
831,That's not gonna happen.,"00:53:04,360","00:53:07,410"
832,Not for a while.,"00:53:04,360","00:53:07,410"
833,The whole team is down.,"00:53:07,960","00:53:09,689"
834,You got no backup here.,"00:53:10,160","00:53:11,286"
835,I'm calling in Veronica.,"00:53:12,480","00:53:13,766"
836,We need backup!,"00:53:25,320","00:53:26,810"
837,Go! Keep moving!,"00:54:05,840","00:54:07,205"
838,"All right, everybody, stand down!","00:54:46,560","00:54:48,722"
839,Will you listen to me?,"00:54:55,040","00:54:56,326"
840,That little witch is messing with your mind.,"00:54:56,680","00:54:59,081"
841,You're stronger than her.,"00:54:59,200","00:55:01,441"
842,You're smarter than her.,"00:54:59,200","00:55:01,441"
843,You're Bruce Banner.,"00:55:01,560","00:55:03,767"
844,"Right, right, right, don't mention puny Banner.","00:55:03,920","00:55:05,760"
845,Okay!,"00:55:10,680","00:55:11,727"
846,In the back?,"00:55:33,400","00:55:34,731"
847,"Dick move, Banner.","00:55:34,840","00:55:35,841"
848,"Veronica, give me a hand.","00:55:47,320","00:55:48,765"
849,"Go to sleep, go to sleep, go to sleep.","00:56:16,760","00:56:18,280"
850,"Okay, pal, we're gonna get you out of town.","00:56:27,600","00:56:29,280"
851,"Not that way, not that way.","00:56:31,440","00:56:32,566"
852,"Come on, Bruce!","00:56:41,120","00:56:43,009"
853,You gotta work with me.,"00:56:41,120","00:56:43,009"
854,"Everybody, out!","00:56:56,480","00:56:57,527"
855,Going down?,"00:57:04,520","00:57:05,806"
856,I'm sorry.,"00:57:15,320","00:57:16,560"
857,Damage report?,"00:57:30,640","00:57:32,404"
858,That's comprehensive.,"00:57:32,520","00:57:34,841"
859,Show me something.,"00:57:32,520","00:57:34,841"
860,How quickly can we buy this building?,"00:57:46,560","00:57:48,040"
861,Move! Move! Move!,"00:58:20,440","00:58:21,771"
862,"Go, go, go!","00:58:20,440","00:58:21,771"
863,"Flank him, flank him!","00:58:25,560","00:58:26,607"
864,The news is loving you guys.,"00:59:16,320","00:59:18,368"
865,Nobody else is.,"00:59:19,480","00:59:21,050"
866,There's been no official call for Banner's arrest,"00:59:21,560","00:59:23,722"
867,but it's in the air.,"00:59:23,840","00:59:25,968"
868,The Stark Relief Foundation?,"00:59:26,560","00:59:27,680"
869,Already on the scene.,"00:59:27,720","00:59:29,051"
870,How's the team?,"00:59:29,160","00:59:32,004"
871,Everyone's...,"00:59:29,160","00:59:32,004"
872,We took a hit. We'll shake it off.,"00:59:32,400","00:59:34,926"
873,"Well, for now, I'd stay in stealth mode and stay away from here.","00:59:35,400","00:59:38,966"
874,"So, run and hide?","00:59:40,400","00:59:41,925"
875,"Until we can find Ultron, I don't have a lot else to offer.","00:59:42,680","00:59:47,010"
876,Neither do we.,"00:59:47,160","00:59:49,049"
877,"Hey, you wanna switch out?","00:59:55,760","00:59:57,364"
878,"No, I'm good.","00:59:57,560","00:59:58,800"
879,"If you wanna get some kip, now's a good time","00:59:59,320","01:00:01,209"
880,because we're still a few hours out.,"01:00:01,360","01:00:02,850"
