,lines,start,end
464,The Avengers' extinction.,"00:32:32,320","00:32:33,526"
465,"I had strings, but now I'm free.","00:32:40,880","00:32:44,930"
466,There are no strings on me,"00:32:49,600","00:32:52,729"
467,There are no strings on me,"00:32:53,360","00:32:57,888"
468,But you can see,"00:32:58,080","00:33:01,448"
469,All our work is gone.,"00:33:03,120","00:33:05,122"
470,Ultron cleared out. He used,"00:33:05,240","00:33:07,641"
471,Ultron.,"00:33:08,240","00:33:09,287"
472,He's been in everything.,"00:33:09,400","00:33:12,449"
473,Probably knows more about us,"00:33:12,560","00:33:15,006"
474,"He's in your files, he's in the Internet.","00:33:15,120","00:33:17,566"
475,What if he decides to access,"00:33:17,760","00:33:20,331"
476,Nuclear codes.,"00:33:20,440","00:33:21,566"
477,- Nuclear codes.,"00:33:21,720","00:33:24,087"
478,assuming we still can.,"00:33:24,240","00:33:26,242"
479,Nukes? He said he wanted us dead.,"00:33:26,400","00:33:28,289"
480,"He didn't say ""dead."" He said ""extinct.""","00:33:28,440","00:33:31,250"
481,He also said he killed somebody.,"00:33:31,440","00:33:32,930"
482,There wasn't anyone else,"00:33:33,040","00:33:34,640"
483,"Yes, there was.","00:33:35,480","00:33:36,970"
484,What?,"00:33:43,920","00:33:45,410"
485,This is insane.,"00:33:49,120","00:33:50,167"
486,Jarvis was the first line of defence.,"00:33:51,000","00:33:52,490"
487,He would have shut Ultron down.,"00:33:52,600","00:33:54,489"
488,No. Ultron could have,"00:33:54,600","00:33:57,604"
489,This isn't strategy. This is,"00:33:57,800","00:34:00,451"
490,rage.,"00:34:01,040","00:34:02,121"
491,It's going around.,"00:34:04,120","00:34:05,485"
492,"Come on, use your words, buddy.","00:34:05,600","00:34:06,840"
493,I have more than enough words,"00:34:06,960","00:34:09,167"
494,Thor. The Legionnaire.,"00:34:09,280","00:34:10,520"
495,"Trail went cold about 100 miles out,","00:34:13,800","00:34:17,361"
496,And it has the sceptre.,"00:34:17,480","00:34:18,925"
497,"Now we have to retrieve it, again.","00:34:19,320","00:34:21,004"
498,Genie's out of that bottle.,"00:34:21,160","00:34:22,969"
499,Clear and present is Ultron.,"00:34:23,120","00:34:24,326"
500,I don't understand.,"00:34:24,480","00:34:26,130"
501,You built this program.,"00:34:26,640","00:34:28,563"
502,Why is it trying to kill us?,"00:34:30,320","00:34:31,731"
503,You think this is funny?,"00:34:38,600","00:34:39,761"
504,No.,"00:34:40,520","00:34:41,851"
505,"It's probably not, right?","00:34:42,440","00:34:44,363"
506,This is very terrible. Is it so...,"00:34:45,440","00:34:47,761"
507,Is it so... It is. It's so terrible.,"00:34:47,880","00:34:50,042"
508,This could have been avoided,"00:34:50,160","00:34:51,730"
509,with something you don't understand.,"00:34:51,840","00:34:53,365"
510,No. I'm sorry. I'm sorry. It is funny.,"00:34:53,520","00:34:56,171"
511,It's a hoot,"00:34:56,320","00:34:58,482"
512,"Tony, maybe this might not be the time.","00:34:58,640","00:35:00,802"
513,Really? That's it?,"00:35:00,960","00:35:03,281"
514,"You just roll over, show your belly","00:35:03,400","00:35:06,364"
515,Only when I've created a murder bot.,"00:35:06,520","00:35:07,760"
516,We didn't. We weren't even close.,"00:35:07,880","00:35:11,446"
517,"Well, you did something right.","00:35:11,560","00:35:15,121"
518,The Avengers were supposed,"00:35:15,200","00:35:17,009"
519,Anybody remember when,"00:35:17,240","00:35:20,210"
520,"- No, it's never come up.","00:35:20,360","00:35:21,885"
521,- Never heard that.,"00:35:22,040","00:35:23,963"
522,A hostile alien army came charging,"00:35:24,080","00:35:27,766"
523,We're standing 300 feet below it.,"00:35:28,360","00:35:30,567"
524,We're the Avengers.,"00:35:32,200","00:35:33,725"
525,We can bust arms dealers,"00:35:33,880","00:35:35,962"
526,"but that up there, that's...","00:35:36,080","00:35:38,321"
527,That's the endgame.,"00:35:39,040","00:35:40,963"
528,How were you guys,"00:35:41,560","00:35:43,449"
529,Together.,"00:35:44,360","00:35:45,771"
530,We'll lose.,"00:35:49,120","00:35:50,485"
531,"Then we'll do that together, too.","00:35:51,560","00:35:53,483"
532,Thor's right. Ultron's calling us out.,"00:35:56,400","00:35:58,687"
533,And I'd like to find him,"00:35:59,560","00:36:01,520"
534,The world's a big place.,"00:36:02,760","00:36:06,443"
535,"Talk,","00:36:29,600","00:36:31,648"
536,Did you know this church,"00:36:31,760","00:36:36,129"
537,The elders decreed it so that,"00:36:36,280","00:36:40,886"
538,I like that.,"00:36:41,400","00:36:42,561"
539,The geometry of belief.,"00:36:43,080","00:36:45,003"
540,You're wondering,"00:36:47,120","00:36:49,487"
541,Sometimes it's hard.,"00:36:49,960","00:36:51,928"
542,"But sooner or later,","00:36:52,080","00:36:54,367"
543,I'm sure they do.,"00:36:56,120","00:36:57,451"
544,But you needed,"00:36:58,560","00:37:00,961"
545,That's why you let,"00:37:01,800","00:37:04,326"
546,"I didn't expect,","00:37:04,720","00:37:05,721"
547,but I saw Stark's fear.,"00:37:08,240","00:37:10,163"
548,I knew it would control him.,"00:37:10,800","00:37:12,040"
549,Make him self-destruct.,"00:37:12,160","00:37:14,003"
550,Everyone creates the thing they dread.,"00:37:14,160","00:37:16,481"
551,Men of peace create engines of war.,"00:37:17,320","00:37:19,926"
552,Invaders create Avengers.,"00:37:20,440","00:37:22,602"
553,People create,"00:37:22,840","00:37:24,285"
554,smaller people?,"00:37:25,840","00:37:27,842"
555,"""Children."" I lost the word, there.","00:37:27,960","00:37:31,043"
556,Children,"00:37:31,160","00:37:32,525"
557,"designed to supplant them,","00:37:32,680","00:37:34,921"
558,to help them end.,"00:37:35,040","00:37:37,850"
559,"Is that why you've come,","00:37:38,600","00:37:40,648"
560,to end the Avengers?,"00:37:40,800","00:37:41,881"
561,I've come to save the world.,"00:37:42,000","00:37:44,321"
562,But also... Yeah.,"00:37:45,000","00:37:47,651"
563,We'll move out right away.,"00:37:51,840","00:37:53,524"
564,"This is a start, but there's something","00:37:53,640","00:37:56,805"
565,- All of these are...,"00:37:57,200","00:37:58,929"
566,I have what the Avengers,"00:37:59,600","00:38:03,002"
567,They're discordant. Disconnected.,"00:38:03,160","00:38:05,367"
568,Stark's already got them,"00:38:05,520","00:38:07,360"
569,And when you get inside,"00:38:07,480","00:38:09,881"
570,Everyone's plan is not to kill them.,"00:38:10,000","00:38:12,162"
571,And make them martyrs?,"00:38:12,280","00:38:13,770"
572,You need patience.,"00:38:14,360","00:38:15,964"
573,Need to see the big picture.,"00:38:16,120","00:38:17,804"
574,I don't see the big picture.,"00:38:17,960","00:38:21,203"
575,"I take it out and look at it,","00:38:22,400","00:38:24,004"
576,every day.,"00:38:24,880","00:38:25,961"
577,You lost your parents in the bombings.,"00:38:26,120","00:38:28,930"
578,The records are not the picture.,"00:38:29,040","00:38:30,201"
579,- Pietro.,"00:38:30,320","00:38:32,721"
580,We were 10 years old.,"00:38:35,800","00:38:38,963"
581,"When the first shell hits,","00:38:40,560","00:38:42,403"
582,it makes a hole in the floor.,"00:38:42,560","00:38:44,562"
583,It's big.,"00:38:44,720","00:38:46,245"
584,Our parents go in,"00:38:47,640","00:38:49,449"
585,and the whole building,"00:38:49,560","00:38:52,643"
586,"I grab her,","00:38:53,360","00:38:54,885"
587,"roll under the bed,","00:38:55,560","00:38:57,688"
588,But it doesn't go off.,"00:38:58,040","00:38:59,963"
589,It just,"00:39:02,000","00:39:03,650"
590,sits there in the rubble.,"00:39:04,160","00:39:06,083"
591,Three feet from our faces.,"00:39:07,080","00:39:09,367"
592,And on the side of the shell,"00:39:10,440","00:39:13,925"
593,"""Stark.""","00:39:14,120","00:39:15,770"
594,We were trapped for two days.,"00:39:17,600","00:39:19,728"
595,"Every effort to save us,","00:39:20,200","00:39:22,009"
596,"every shift in the bricks,","00:39:22,120","00:39:23,690"
597,"I think, ""This will set it off.""","00:39:23,880","00:39:26,167"
598,We wait for two days,"00:39:29,440","00:39:33,287"
599,I know what they are.,"00:39:35,800","00:39:37,643"
600,I wondered why only you two,"00:39:38,800","00:39:42,566"
601,Now I don't.,"00:39:43,560","00:39:44,721"
602,We will make it right.,"00:39:45,120","00:39:46,849"
603,You and I can hurt them.,"00:39:47,320","00:39:48,810"
604,But you will tear them apart,"00:39:50,280","00:39:53,568"
605,from the inside.,"00:39:55,560","00:39:57,403"
606,He's all over the globe.,"00:40:04,000","00:40:05,206"
607,"Robotics labs, weapons facilities,","00:40:05,320","00:40:08,529"
608,"Reports of a metal man, or men,","00:40:08,640","00:40:12,729"
609,Fatalities?,"00:40:12,840","00:40:14,001"
610,Only when engaged.,"00:40:14,120","00:40:15,201"
611,Mostly guys left in a fugue state,"00:40:15,320","00:40:16,970"
612,"going on about old memories,","00:40:17,080","00:40:19,321"
613,"and ""something too fast to see.""","00:40:19,520","00:40:21,682"
614,Maximoffs.,"00:40:21,800","00:40:23,211"
615,That makes sense he'd go to them.,"00:40:23,480","00:40:26,165"
616,Not any more.,"00:40:26,280","00:40:28,203"
617,That's a negative. I answer to you.,"00:40:32,080","00:40:34,003"
618,"Yes, ma'am.","00:40:35,360","00:40:36,407"
619,Barton. Might have something.,"00:40:36,520","00:40:38,329"
620,I gotta go.,"00:40:38,840","00:40:39,887"
621,Who was that?,"00:40:40,040","00:40:41,201"
622,Girlfriend.,"00:40:42,000","00:40:43,240"
623,What's this?,"00:40:46,000","00:40:47,126"
624,A message. Ultron killed Strucker.,"00:40:47,280","00:40:49,487"
625,And he did a Banksy,"00:40:51,000","00:40:53,731"
626,This is a smoke screen.,"00:40:53,880","00:40:55,291"
627,Why send a message,"00:40:55,400","00:40:57,801"
628,Strucker knew something,"00:40:57,920","00:41:00,287"
629,"Yeah, I bet he... Yeah.","00:41:00,400","00:41:02,209"
630,Everything we had,"00:41:02,880","00:41:04,600"
631,Not everything.,"00:41:04,960","00:41:06,200"
632,Known associates.,"00:41:07,840","00:41:09,490"
633,Baron Strucker had a lot of friends.,"00:41:10,000","00:41:11,570"
634,"Well, these people are all horrible.","00:41:11,720","00:41:13,160"
635,Wait. I know that guy.,"00:41:13,440","00:41:15,169"
636,From back in the day.,"00:41:17,640","00:41:19,210"
637,Black market arms.,"00:41:19,320","00:41:20,321"
638,There are conventions.,"00:41:21,560","00:41:23,520"
639,I didn't sell him anything.,"00:41:23,560","00:41:24,891"
640,He was talking about finding,"00:41:25,760","00:41:27,762"
641,It was all very Ahab.,"00:41:27,920","00:41:29,251"
642,This?,"00:41:30,040","00:41:31,166"
643,"It's a tattoo, I don't think he had it.","00:41:31,320","00:41:32,321"
644,"Those are tattoos, this is a brand.","00:41:32,440","00:41:34,807"
645,Yeah. It's a word in an African dialect,"00:41:36,480","00:41:39,962"
646,In a much less friendly way.,"00:41:40,560","00:41:41,925"
647,- What dialect?,"00:41:42,200","00:41:43,964"
648,Wakanda.,"00:41:44,080","00:41:45,809"
649,If this guy got out of Wakanda,"00:41:47,400","00:41:49,920"
650,I thought your father,"00:41:50,000","00:41:51,161"
651,I don't follow.,"00:41:51,240","00:41:54,170"
652,The strongest metal on Earth.,"00:41:56,000","00:41:57,923"
653,Where is this guy now?,"00:41:59,280","00:42:00,611"
654,Don't tell me your men swindled you.,"00:42:26,000","00:42:27,809"
655,I sent you six short-range heat-seekers,"00:42:27,960","00:42:33,086"
656,"Now, you will make it right,","00:42:33,200","00:42:34,486"
657,or the next missile I send you,"00:42:34,640","00:42:37,803"
658,"Now, minister, where were we?","00:42:39,720","00:42:42,166"
659,Yeah. The Enhanced.,"00:43:13,800","00:43:16,690"
660,Strucker's prize pupils.,"00:43:17,400","00:43:19,004"
661,Do you want a candy?,"00:43:22,200","00:43:23,850"
662,I was sorry to hear about Strucker.,"00:43:25,360","00:43:27,931"
663,"But then, he knew what kind of world","00:43:28,080","00:43:31,084"
664,Human life. Not a growth market.,"00:43:31,680","00:43:34,081"
665,You didn't know?,"00:43:36,800","00:43:38,450"
666,Is this your first time,"00:43:38,880","00:43:42,362"
667,I'm afraid I'm not that afraid.,"00:43:42,680","00:43:45,206"
668,Everybody is afraid of something.,"00:43:45,360","00:43:47,681"
669,Cuttlefish.,"00:43:47,800","00:43:48,801"
670,Deep sea fish.,"00:43:50,120","00:43:51,485"
671,"They make lights, disco lights...","00:43:51,560","00:43:53,210"
672,"...to hypnotise their prey, and then...","00:43:54,880","00:43:56,723"
673,I saw a documentary. It was terrifying.,"00:43:58,000","00:44:00,128"
674,So if you're going to fiddle with my brain,"00:44:05,600","00:44:08,171"
675,"and make me see a giant cuttlefish,","00:44:09,120","00:44:11,327"
676,then I know you don't do business.,"00:44:11,600","00:44:13,682"
677,And I know you're not in charge.,"00:44:13,800","00:44:16,121"
678,And I only deal,"00:44:16,320","00:44:17,606"
679,with the man in charge.,"00:44:18,680","00:44:20,330"
680,There is no man in charge.,"00:44:25,360","00:44:27,761"
681,Let's talk business.,"00:44:30,760","00:44:32,444"
682,"Upon this rock,","00:44:45,400","00:44:48,688"
683,Vibranium.,"00:44:50,440","00:44:51,726"
684,"You know,","00:44:52,840","00:44:53,841"
685,it came at great personal cost.,"00:44:54,280","00:44:57,284"
686,It's worth billions.,"00:44:57,680","00:44:59,284"
687,Now so are you.,"00:45:03,600","00:45:04,681"
688,It's all under your dummy holdings.,"00:45:06,080","00:45:07,650"
689,Finance is so weird.,"00:45:07,760","00:45:09,762"
690,"But I always say,","00:45:11,280","00:45:12,361"
691,"""Keep your friends rich","00:45:12,480","00:45:14,642"
692,"""and wait to find out which is which.""","00:45:14,800","00:45:16,609"
693,Stark.,"00:45:19,480","00:45:20,527"
694,What?,"00:45:21,920","00:45:23,046"
695,Tony Stark used to say that.,"00:45:23,240","00:45:24,969"
696,To me.,"00:45:26,560","00:45:27,607"
697,You're one of his.,"00:45:28,480","00:45:29,641"
698,What? I'm not...,"00:45:29,960","00:45:31,644"
699,I'm not.,"00:45:33,960","00:45:35,007"
700,You think I'm one of Stark's puppets?,"00:45:35,160","00:45:36,650"
701,His hollow men?,"00:45:36,760","00:45:37,886"
702,"I mean, look at me.","00:45:38,320","00:45:40,527"
703,Stark is nothing!,"00:45:40,680","00:45:42,011"
704,I'm sorry. I'm...,"00:45:43,760","00:45:45,967"
705,I'm sure that's gonna be okay. I'm sorry.,"00:45:46,080","00:45:48,082"
706,It's just that I don't understand.,"00:45:48,200","00:45:49,884"
707,Don't compare me with Stark!,"00:45:50,000","00:45:52,287"
708,It's a thing with me.,"00:45:55,040","00:45:56,166"
709,Stark is... He's a sickness!,"00:45:56,280","00:45:58,169"
710,Junior.,"00:45:58,320","00:46:00,004"
711,You're gonna break,"00:46:01,880","00:46:03,440"
712,If I have to.,"00:46:04,720","00:46:05,767"
713,Nobody has to break anything.,"00:46:08,080","00:46:09,491"
714,Clearly you've never,"00:46:09,600","00:46:11,250"
715,He beat me by one second.,"00:46:11,440","00:46:12,646"
716,Yes. He's funny.,"00:46:13,840","00:46:15,205"
717,Mr Stark.,"00:46:15,560","00:46:16,971"
718,It's what? Comfortable?,"00:46:17,840","00:46:19,444"
719,Like old times?,"00:46:21,080","00:46:22,366"
720,This was never my life.,"00:46:22,680","00:46:23,681"
721,You two can still walk away from this.,"00:46:23,880","00:46:25,120"
722,We will.,"00:46:25,280","00:46:26,725"
723,I know you've suffered.,"00:46:26,920","00:46:27,921"
724,Captain America.,"00:46:28,840","00:46:30,251"
725,God's righteous man.,"00:46:30,920","00:46:33,366"
726,Pretending you could live without a war.,"00:46:33,480","00:46:35,801"
727,I can't physically,"00:46:36,600","00:46:39,570"
728,"If you believe in peace,","00:46:39,720","00:46:41,802"
729,I think you're confusing,"00:46:42,200","00:46:45,568"
730,What's the vibranium for?,"00:46:45,720","00:46:47,484"
731,"I'm glad you asked that,","00:46:47,800","00:46:48,801"
732,because I wanted to take this time,"00:46:48,880","00:46:52,646"
733,- Shoot them.,"00:47:12,200","00:47:13,770"
734,All of them!,"00:47:14,120","00:47:15,281"
735,Move! Move! Move!,"00:47:15,400","00:47:16,731"
736,"Stay down, kid.","00:48:05,680","00:48:06,841"
737,It's time for some mind games.,"00:48:09,240","00:48:11,686"
738,Guys? Is this a code green?,"00:48:13,040","00:48:15,327"
739,"Thor, status.","00:48:31,200","00:48:32,804"
740,The girl tried to warp my mind.,"00:48:32,880","00:48:34,325"
741,Take special care.,"00:48:34,480","00:48:37,962"
742,"Fortunately, I am mighty.","00:48:38,360","00:48:41,364"
743,This is going very well.,"00:49:01,080","00:49:03,367"
744,I've done the whole mind control thing.,"00:49:14,960","00:49:16,520"
745,Not a fan.,"00:49:17,320","00:49:18,321"
746,"Yeah, you better run.","00:49:25,960","00:49:27,928"
747,"Who's ever standing,","00:49:29,640","00:49:31,449"
748,Guys?,"00:49:33,520","00:49:34,567"
749,Again.,"00:49:52,320","00:49:53,606"
750,You'll break them.,"00:49:53,920","00:49:55,126"
751,Only the breakable ones.,"00:49:55,600","00:49:57,329"
752,You're made of marble.,"00:49:57,880","00:49:59,325"
753,We'll celebrate,"00:49:59,760","00:50:01,922"
754,What if I fail?,"00:50:02,840","00:50:03,966"
755,You never fail.,"00:50:09,600","00:50:10,840"
756,Are you ready for our dance?,"00:50:33,680","00:50:35,603"
757,Is it him?,"00:50:44,800","00:50:45,847"
758,Is that the first son of Odin?,"00:50:46,200","00:50:48,043"
759,"Heimdall, your eyes.","00:50:48,640","00:50:50,130"
760,They see everything.,"00:50:50,800","00:50:52,689"
761,They see you leading us to Hel.,"00:50:53,040","00:50:55,327"
762,Wake up!,"00:50:56,440","00:50:57,680"
763,"The war is over, Steve.","00:51:00,680","00:51:02,648"
764,We can go home.,"00:51:03,000","00:51:04,331"
765,Imagine it.,"00:51:06,160","00:51:07,366"
766,I can still save you!,"00:51:16,640","00:51:18,210"
767,We're all dead! Can you not see?,"00:51:18,560","00:51:21,848"
768,"You're a destroyer, Odinson.","00:51:26,600","00:51:28,841"
769,See where your power leads.,"00:51:32,000","00:51:34,002"
770,Sloppy.,"00:51:45,000","00:51:46,161"
771,Pretending to fail.,"00:51:47,840","00:51:48,841"
772,The ceremony is necessary,"00:51:49,840","00:51:51,205"
773,for you to take your place in the world.,"00:51:52,520","00:51:54,443"
774,I have no place in the world.,"00:51:55,440","00:51:56,600"
775,Exactly.,"00:51:56,720","00:51:57,801"
776,- What can I do?,"00:52:02,640","00:52:04,961"
777,I'm going to kill him.,"00:52:06,200","00:52:07,247"
778,- I'll be right back.,"00:52:07,360","00:52:08,566"
779,I'm all right.,"00:52:08,720","00:52:10,051"
780,I want...,"00:52:10,920","00:52:12,046"
781,I want to finish the plan.,"00:52:15,000","00:52:16,889"
782,I want the big one.,"00:52:17,720","00:52:19,404"
783,The vibranium is getting away.,"00:52:30,320","00:52:32,049"
784,And you're not going anywhere.,"00:52:33,000","00:52:34,331"
785,Of course not. I'm already there.,"00:52:34,440","00:52:37,250"
786,You'll catch on.,"00:52:37,400","00:52:38,401"
787,"But first, you might need","00:52:38,520","00:52:40,921"
788,"News or footage. Keyword, ""Hulk.""","00:52:55,720","00:52:57,609"
789,"Natasha, I could really use a lullaby.","00:53:02,440","00:53:04,249"
790,That's not gonna happen.,"00:53:04,360","00:53:07,410"
791,The whole team is down.,"00:53:07,960","00:53:09,689"
792,You got no backup here.,"00:53:10,160","00:53:11,286"
793,I'm calling in Veronica.,"00:53:12,480","00:53:13,766"
794,We need backup!,"00:53:25,320","00:53:26,810"
795,Go! Keep moving!,"00:54:05,840","00:54:07,205"
796,"All right, everybody, stand down!","00:54:46,560","00:54:48,722"
797,Will you listen to me?,"00:54:55,040","00:54:56,326"
798,That little witch is,"00:54:56,680","00:54:59,081"
799,You're stronger than her.,"00:54:59,200","00:55:01,441"
800,You're Bruce Banner.,"00:55:01,560","00:55:03,767"
801,"Right, right, right,","00:55:03,920","00:55:05,760"
802,Okay!,"00:55:10,680","00:55:11,727"
803,In the back?,"00:55:33,400","00:55:34,731"
804,"Dick move, Banner.","00:55:34,840","00:55:35,841"
805,"Veronica, give me a hand.","00:55:47,320","00:55:48,765"
806,"Go to sleep, go to sleep, go to sleep.","00:56:16,760","00:56:18,280"
807,"Okay, pal, we're gonna","00:56:27,600","00:56:29,280"
808,"Not that way, not that way.","00:56:31,440","00:56:32,566"
809,"Come on, Bruce!","00:56:41,120","00:56:43,009"
810,"Everybody, out!","00:56:56,480","00:56:57,527"
811,Going down?,"00:57:04,520","00:57:05,806"
812,I'm sorry.,"00:57:15,320","00:57:16,560"
813,Damage report?,"00:57:30,640","00:57:32,404"
814,That's comprehensive.,"00:57:32,520","00:57:34,841"
815,How quickly can we buy this building?,"00:57:46,560","00:57:48,040"
816,- Move! Move! Move!,"00:58:20,440","00:58:21,771"
817,"Flank him, flank him!","00:58:25,560","00:58:26,607"
818,The news is loving you guys.,"00:59:16,320","00:59:18,368"
819,Nobody else is.,"00:59:19,480","00:59:21,050"
820,There's been no official call,"00:59:21,560","00:59:23,722"
821,but it's in the air.,"00:59:23,840","00:59:25,968"
822,The Stark Relief Foundation?,"00:59:26,560","00:59:27,680"
823,Already on the scene.,"00:59:27,720","00:59:29,051"
824,- How's the team?,"00:59:29,160","00:59:32,004"
825,We took a hit. We'll shake it off.,"00:59:32,400","00:59:34,926"
826,"Well, for now, I'd stay in stealth mode","00:59:35,400","00:59:38,966"
827,"So, run and hide?","00:59:40,400","00:59:41,925"
828,"Until we can find Ultron,","00:59:42,680","00:59:44,091"
829,I don't have a lot else to offer.,"00:59:44,200","00:59:47,010"
830,Neither do we.,"00:59:47,160","00:59:49,049"
831,"Hey, you wanna switch out?","00:59:55,760","00:59:57,364"
832,"No, I'm good.","00:59:57,560","00:59:58,800"
833,"If you wanna get some kip,","00:59:59,320","01:00:01,209"
834,because we're still a few hours out.,"01:00:01,360","01:00:02,850"
835,Few hours from where?,"01:00:02,960","01:00:04,530"
836,A safe house.,"01:00:05,440","01:00:06,726"
837,What is this place?,"01:00:33,200","01:00:34,690"
838,Safe house.,"01:00:34,800","01:00:36,165"
839,Let's hope.,"01:00:37,120","01:00:38,326"
840,Honey?,"01:00:43,360","01:00:44,407"
841,I'm home.,"01:00:44,960","01:00:46,121"
842,Hi.,"01:00:48,720","01:00:49,767"
843,"Company. Sorry, didn't call ahead.","01:00:50,120","01:00:52,168"
844,Hey.,"01:00:52,280","01:00:53,281"
845,This is an agent of some kind.,"01:00:54,240","01:00:55,685"
846,"Gentlemen, this is Laura.","01:00:55,760","01:00:58,240"
847,I know all of your names.,"01:00:59,240","01:01:01,083"
848,Incoming.,"01:01:02,720","01:01:04,768"
849,- Dad!,"01:01:05,680","01:01:07,364"
850,"Hey, buddy.","01:01:07,480","01:01:08,641"
851,How are you guys doing?,"01:01:08,880","01:01:10,245"
852,- These are smaller agents.,"01:01:10,520","01:01:12,409"
853,"Oh, my goodness.","01:01:12,600","01:01:13,681"
854,Did you bring Auntie Nat?,"01:01:14,080","01:01:16,447"
855,Why don't you hug her and find out?,"01:01:16,680","01:01:19,763"
856,- Sorry for barging in on you.,"01:01:20,560","01:01:22,801"
857,but we were busy having,"01:01:22,920","01:01:24,922"
858,"Yeah, well, Fury helped me","01:01:25,280","01:01:28,250"
859,He kept it off S.H.I.E.L.D.'s files.,"01:01:29,080","01:01:31,725"
860,I figure it's a good place to lay low.,"01:01:32,480","01:01:34,209"
861,Honey.,"01:01:34,320","01:01:35,765"
862,I missed you. How's little Natasha?,"01:01:36,800","01:01:39,326"
863,She's...,"01:01:39,440","01:01:40,726"
864,Nathaniel.,"01:01:43,040","01:01:44,041"
865,Traitor.,"01:01:46,800","01:01:47,801"
866,Thor?,"01:02:03,680","01:02:04,841"
867,I saw something in that dream.,"01:02:04,960","01:02:06,803"
868,I need answers. I won't find them here.,"01:02:06,920","01:02:09,526"
869,We can go home.,"01:02:20,080","01:02:21,366"
870,See? You worried for nothing.,"01:02:32,880","01:02:34,723"
871,"Can't even feel the difference, can you?","01:02:34,840","01:02:36,968"
872,"If they're sleeping here,","01:02:39,320","01:02:40,526"
873,some of them,"01:02:40,680","01:02:42,523"
874,"Yeah, that's not gonna sell.","01:02:44,600","01:02:46,728"
875,What about Nat and Dr Banner?,"01:02:49,560","01:02:51,881"
876,How long has that been going on?,"01:02:52,320","01:02:54,243"
877,Has what?,"01:02:54,760","01:02:56,808"
878,You are so cute.,"01:02:56,960","01:02:58,689"
879,Nat and Banner?,"01:02:58,920","01:03:00,365"
880,"I'll explain when you're older,","01:03:01,080","01:03:02,491"
881,- Hawkeye.,"01:03:02,680","01:03:05,365"
882,"It's bad, right?","01:03:07,320","01:03:08,731"
883,Nat seems really shaken.,"01:03:09,080","01:03:10,241"
884,Ultron has these allies.,"01:03:11,720","01:03:13,210"
885,"These kids. They're punks, really.","01:03:13,320","01:03:17,250"
886,"But they carry a big, damn stick.","01:03:18,960","01:03:21,406"
887,And Nat took a serious hit.,"01:03:21,520","01:03:22,726"
888,Someone's gonna have to,"01:03:23,920","01:03:26,400"
889,That someone being you.,"01:03:26,600","01:03:28,409"
890,You know,"01:03:29,720","01:03:32,564"
891,I couldn't be prouder.,"01:03:32,680","01:03:34,523"
892,But I see those guys...,"01:03:36,080","01:03:37,411"
893,Those gods...,"01:03:37,600","01:03:39,568"
894,You don't think they need me.,"01:03:41,560","01:03:43,289"
895,"I think they do, which is a lot scarier.","01:03:43,960","01:03:47,601"
896,They're a mess.,"01:03:48,760","01:03:50,569"
897,Yeah.,"01:03:51,560","01:03:52,561"
898,I guess they're my mess.,"01:03:53,320","01:03:54,765"
899,You need to be sure,"01:03:56,320","01:03:57,924"
900,"that this team is really a team,","01:03:58,360","01:04:01,045"
901,and that they have your back.,"01:04:01,160","01:04:02,844"
902,Things are changing for us.,"01:04:06,200","01:04:08,771"
903,"In a few months' time,","01:04:08,880","01:04:11,281"
904,you and me are gonna be outnumbered.,"01:04:11,440","01:04:14,205"
905,I need...,"01:04:14,320","01:04:15,606"
906,Just be sure.,"01:04:18,800","01:04:20,609"
907,"Yes, ma'am.","01:04:21,440","01:04:22,930"
908,I can feel the difference.,"01:04:32,160","01:04:34,003"
909,"Scream, and your entire staff dies.","01:04:46,960","01:04:49,645"
910,"I could've killed you, Helen,","01:04:51,560","01:04:53,801"
911,I didn't.,"01:04:53,960","01:04:55,007"
912,Do you expect a thank-you note?,"01:04:55,160","01:04:56,650"
913,I expect you to know why.,"01:04:56,800","01:04:58,484"
914,The Cradle.,"01:04:59,920","01:05:01,206"
915,"This is the next thing, Tony.","01:05:01,280","01:05:03,203"
916,This is the next me.,"01:05:03,360","01:05:06,330"
917,The Regeneration Cradle prints tissue.,"01:05:06,720","01:05:09,291"
918,It can't build a living body.,"01:05:09,400","01:05:11,050"
919,It can. You can.,"01:05:11,160","01:05:12,241"
920,You lack the materials.,"01:05:12,720","01:05:14,006"
921,"You're a brilliant woman, Helen.","01:05:16,440","01:05:17,805"
922,But we all have room to improve.,"01:05:21,080","01:05:24,163"
923,I didn't realise you were waiting.,"01:05:45,960","01:05:48,361"
924,"I would've joined you,","01:05:48,480","01:05:52,883"
925,They used up all the hot water.,"01:05:53,840","01:05:55,922"
926,I should've joined you.,"01:05:56,760","01:05:58,205"
927,Missed our window.,"01:05:58,360","01:06:00,010"
928,Did we?,"01:06:00,800","01:06:02,040"
929,The world just saw the Hulk.,"01:06:05,600","01:06:06,726"
930,"The real Hulk, for the first time.","01:06:09,400","01:06:11,323"
931,- You know I have to leave.,"01:06:14,560","01:06:17,211"
932,I had this dream.,"01:06:19,280","01:06:21,931"
933,"The kind that seems normal at the time,","01:06:22,280","01:06:24,248"
934,but when you wake...,"01:06:25,480","01:06:26,720"
935,What did you dream?,"01:06:26,920","01:06:28,251"
936,That I was an Avenger.,"01:06:29,280","01:06:31,089"
937,That I was anything more,"01:06:33,120","01:06:36,927"
938,I think you're being hard on yourself.,"01:06:38,400","01:06:40,482"
